0.00	1.00
7.20	0.99
14.40	0.97
21.60	0.93
28.80	0.88
36.00	0.81
43.20	0.73
50.40	0.64
57.60	0.54
64.80	0.43
72.00	0.31
79.20	0.19
86.40	0.06
93.60	-0.06
100.80	-0.19
108.00	-0.31
115.20	-0.43
122.40	-0.54
129.60	-0.64
136.80	-0.73
144.00	-0.81
151.20	-0.88
158.40	-0.93
165.60	-0.97
172.80	-0.99
180.00	-1.00
187.20	-0.99
194.40	-0.97
201.60	-0.93
208.80	-0.88
216.00	-0.81
223.20	-0.73
230.40	-0.64
237.60	-0.54
244.80	-0.43
252.00	-0.31
259.20	-0.19
266.40	-0.06
273.60	0.06
280.80	0.19
288.00	0.31
295.20	0.43
302.40	0.54
309.60	0.64
316.80	0.73
324.00	0.81
331.20	0.88
338.40	0.93
345.60	0.97
352.80	0.99
