0.00	0.00
7.20	0.13
14.40	0.25
21.60	0.37
28.80	0.48
36.00	0.59
43.20	0.68
50.40	0.77
57.60	0.84
64.80	0.90
72.00	0.95
79.20	0.98
86.40	1.00
93.60	1.00
100.80	0.98
108.00	0.95
115.20	0.90
122.40	0.84
129.60	0.77
136.80	0.68
144.00	0.59
151.20	0.48
158.40	0.37
165.60	0.25
172.80	0.13
180.00	0.00
187.20	-0.13
194.40	-0.25
201.60	-0.37
208.80	-0.48
216.00	-0.59
223.20	-0.68
230.40	-0.77
237.60	-0.84
244.80	-0.90
252.00	-0.95
259.20	-0.98
266.40	-1.00
273.60	-1.00
280.80	-0.98
288.00	-0.95
295.20	-0.90
302.40	-0.84
309.60	-0.77
316.80	-0.68
324.00	-0.59
331.20	-0.48
338.40	-0.37
345.60	-0.25
352.80	-0.13
